"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 10 13:57:58 UTC 2026","Mon Aug 10 13:57:59 UTC 2026","902","tests.api","test_bookstore_negative","","","","User cannot add duplicate book",""
"passed","Mon Aug 10 13:57:57 UTC 2026","Mon Aug 10 13:57:58 UTC 2026","1235","tests.api","test_account_positive","","","","User can delete account successfully",""
"passed","Mon Aug 10 13:58:00 UTC 2026","Mon Aug 10 13:58:00 UTC 2026","86","tests.api","test_bookstore_positive","","","","User can retrieve the book list",""
"passed","Mon Aug 10 13:58:00 UTC 2026","Mon Aug 10 13:58:00 UTC 2026","88","tests.api","test_bookstore_positive","","","","User can retrieve specific book using valid ISBN",""
"passed","Mon Aug 10 13:57:53 UTC 2026","Mon Aug 10 13:57:54 UTC 2026","961","tests.api","test_account_positive","","","","User can get account detail succesfully",""
"passed","Mon Aug 10 13:57:58 UTC 2026","Mon Aug 10 13:57:58 UTC 2026","381","tests.api","test_bookstore_negative","","","","User cannot add book without token",""
"passed","Mon Aug 10 13:57:48 UTC 2026","Mon Aug 10 13:57:50 UTC 2026","1323","tests.api","test_account_positive","","","","User can register new account successfully",""
"passed","Mon Aug 10 13:57:59 UTC 2026","Mon Aug 10 13:57:59 UTC 2026","84","tests.api","test_bookstore_negative","","","","User cannot update book using invalid ISBN",""
"passed","Mon Aug 10 13:58:00 UTC 2026","Mon Aug 10 13:58:01 UTC 2026","509","tests.api","test_bookstore_positive","","","","User can update an existing book",""
"passed","Mon Aug 10 13:57:58 UTC 2026","Mon Aug 10 13:57:58 UTC 2026","85","tests.api","test_bookstore_negative","","","","User cannot retrieve specific book using invalid ISBN",""
"passed","Mon Aug 10 13:57:51 UTC 2026","Mon Aug 10 13:57:51 UTC 2026","326","tests.api","test_account_positive","","","","User can login with valid credential successfully",""
"passed","Mon Aug 10 13:57:51 UTC 2026","Mon Aug 10 13:57:52 UTC 2026","1195","tests.api","test_account_positive","","","","User can generate token successfully",""
"passed","Mon Aug 10 13:57:59 UTC 2026","Mon Aug 10 13:58:00 UTC 2026","183","tests.api","test_bookstore_negative","","","","User cannot delete book using invalid token",""
"passed","Mon Aug 10 13:58:00 UTC 2026","Mon Aug 10 13:58:00 UTC 2026","358","tests.api","test_bookstore_positive","","","","User can add a book into collection",""
"passed","Mon Aug 10 13:58:01 UTC 2026","Mon Aug 10 13:58:01 UTC 2026","555","tests.api","test_bookstore_positive","","","","User can delete a book from collection",""
