"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","User can retrieve the book list","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_positive","",""
"","1126","User can generate token successfully","tests.api","2026-08-10","passed","2026-08-10","","test_account_positive","",""
"","313","User cannot delete book using invalid token","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_negative","",""
"","562","User can delete a book from collection","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_positive","",""
"","872","User can login with valid credential successfully","tests.api","2026-08-10","passed","2026-08-10","","test_account_positive","",""
"","1117","User cannot add book without token","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_negative","",""
"","711","User can update an existing book","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_positive","",""
"","1150","User can get account detail succesfully","tests.api","2026-08-10","passed","2026-08-10","","test_account_positive","",""
"","2182","User can delete account successfully","tests.api","2026-08-10","passed","2026-08-10","","test_account_positive","",""
"","1492","User cannot add duplicate book","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_negative","",""
"","1789","User can register new account successfully","tests.api","2026-08-10","passed","2026-08-10","","test_account_positive","",""
"","196","User can retrieve specific book using valid ISBN","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_positive","",""
"","868","User can add a book into collection","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_positive","",""
"","187","User cannot retrieve specific book using invalid ISBN","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_negative","",""
"","182","User cannot update book using invalid ISBN","tests.api","2026-08-10","passed","2026-08-10","","test_bookstore_negative","",""
